ID,URL,Fichier,Ligne,Langue,Siman,Niveau,Type,Gravite,Texte_actuel,Probleme,Correction_proposee,Certitude,Validation_Rav
T0024,https://daattorah.com/yd/104/lamdan,sources/yoreh-deah/siman-104/niveau-2-lamdan.html,,fr,104,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0025,https://daattorah.com/yd/105/lamdan,sources/yoreh-deah/siman-105/niveau-2-lamdan.html,,fr,105,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0026,https://daattorah.com/yd/105/lamdan,sources/yoreh-deah/siman-105/niveau-2-lamdan.html,,fr,105,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0027,https://daattorah.com/yd/105/lamdan,sources/yoreh-deah/siman-105/niveau-2-lamdan.html,,fr,105,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0028,https://daattorah.com/yd/105/lamdan,sources/yoreh-deah/siman-105/niveau-2-lamdan.html,,fr,105,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0029,https://daattorah.com/yd/106/lamdan,sources/yoreh-deah/siman-106/niveau-2-lamdan.html,,fr,106,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0030,https://daattorah.com/yd/106/lamdan,sources/yoreh-deah/siman-106/niveau-2-lamdan.html,,fr,106,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0031,https://daattorah.com/yd/106/lamdan,sources/yoreh-deah/siman-106/niveau-2-lamdan.html,,fr,106,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0032,https://daattorah.com/yd/106/lamdan,sources/yoreh-deah/siman-106/niveau-2-lamdan.html,,fr,106,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0033,https://daattorah.com/yd/107/lamdan,sources/yoreh-deah/siman-107/niveau-2-lamdan.html,,fr,107,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0034,https://daattorah.com/yd/107/lamdan,sources/yoreh-deah/siman-107/niveau-2-lamdan.html,,fr,107,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0035,https://daattorah.com/yd/107/lamdan,sources/yoreh-deah/siman-107/niveau-2-lamdan.html,,fr,107,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0036,https://daattorah.com/yd/107/lamdan,sources/yoreh-deah/siman-107/niveau-2-lamdan.html,,fr,107,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0037,https://daattorah.com/yd/108/lamdan,sources/yoreh-deah/siman-108/niveau-2-lamdan.html,,fr,108,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0038,https://daattorah.com/yd/108/lamdan,sources/yoreh-deah/siman-108/niveau-2-lamdan.html,,fr,108,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0039,https://daattorah.com/yd/108/lamdan,sources/yoreh-deah/siman-108/niveau-2-lamdan.html,,fr,108,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0040,https://daattorah.com/yd/108/lamdan,sources/yoreh-deah/siman-108/niveau-2-lamdan.html,,fr,108,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0041,https://daattorah.com/yd/109/lamdan,sources/yoreh-deah/siman-109/niveau-2-lamdan.html,,fr,109,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0042,https://daattorah.com/yd/109/lamdan,sources/yoreh-deah/siman-109/niveau-2-lamdan.html,,fr,109,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0043,https://daattorah.com/yd/109/lamdan,sources/yoreh-deah/siman-109/niveau-2-lamdan.html,,fr,109,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0044,https://daattorah.com/yd/109/lamdan,sources/yoreh-deah/siman-109/niveau-2-lamdan.html,,fr,109,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0045,https://daattorah.com/yd/110/lamdan,sources/yoreh-deah/siman-110/niveau-2-lamdan.html,,fr,110,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0046,https://daattorah.com/yd/110/lamdan,sources/yoreh-deah/siman-110/niveau-2-lamdan.html,,fr,110,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0047,https://daattorah.com/yd/110/lamdan,sources/yoreh-deah/siman-110/niveau-2-lamdan.html,,fr,110,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0048,https://daattorah.com/yd/110/lamdan,sources/yoreh-deah/siman-110/niveau-2-lamdan.html,,fr,110,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0049,https://daattorah.com/yd/111/lamdan,sources/yoreh-deah/siman-111/niveau-2-lamdan.html,,fr,111,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0050,https://daattorah.com/yd/111/lamdan,sources/yoreh-deah/siman-111/niveau-2-lamdan.html,,fr,111,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0051,https://daattorah.com/yd/111/lamdan,sources/yoreh-deah/siman-111/niveau-2-lamdan.html,,fr,111,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0052,https://daattorah.com/yd/111/lamdan,sources/yoreh-deah/siman-111/niveau-2-lamdan.html,,fr,111,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0053,https://daattorah.com/yd/112/lamdan,sources/yoreh-deah/siman-112/niveau-2-lamdan.html,,fr,112,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0054,https://daattorah.com/yd/112/lamdan,sources/yoreh-deah/siman-112/niveau-2-lamdan.html,,fr,112,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0055,https://daattorah.com/yd/112/lamdan,sources/yoreh-deah/siman-112/niveau-2-lamdan.html,,fr,112,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0056,https://daattorah.com/yd/112/lamdan,sources/yoreh-deah/siman-112/niveau-2-lamdan.html,,fr,112,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0057,https://daattorah.com/yd/113/lamdan,sources/yoreh-deah/siman-113/niveau-2-lamdan.html,,fr,113,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0058,https://daattorah.com/yd/113/lamdan,sources/yoreh-deah/siman-113/niveau-2-lamdan.html,,fr,113,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0059,https://daattorah.com/yd/113/lamdan,sources/yoreh-deah/siman-113/niveau-2-lamdan.html,,fr,113,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0060,https://daattorah.com/yd/113/lamdan,sources/yoreh-deah/siman-113/niveau-2-lamdan.html,,fr,113,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0061,https://daattorah.com/yd/114/lamdan,sources/yoreh-deah/siman-114/niveau-2-lamdan.html,,fr,114,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0062,https://daattorah.com/yd/114/lamdan,sources/yoreh-deah/siman-114/niveau-2-lamdan.html,,fr,114,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0063,https://daattorah.com/yd/114/lamdan,sources/yoreh-deah/siman-114/niveau-2-lamdan.html,,fr,114,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0064,https://daattorah.com/yd/114/lamdan,sources/yoreh-deah/siman-114/niveau-2-lamdan.html,,fr,114,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0065,https://daattorah.com/yd/115/lamdan,sources/yoreh-deah/siman-115/niveau-2-lamdan.html,,fr,115,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0066,https://daattorah.com/yd/115/lamdan,sources/yoreh-deah/siman-115/niveau-2-lamdan.html,,fr,115,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0067,https://daattorah.com/yd/115/lamdan,sources/yoreh-deah/siman-115/niveau-2-lamdan.html,,fr,115,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0068,https://daattorah.com/yd/115/lamdan,sources/yoreh-deah/siman-115/niveau-2-lamdan.html,,fr,115,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0069,https://daattorah.com/yd/116/lamdan,sources/yoreh-deah/siman-116/niveau-2-lamdan.html,,fr,116,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0070,https://daattorah.com/yd/116/lamdan,sources/yoreh-deah/siman-116/niveau-2-lamdan.html,,fr,116,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0071,https://daattorah.com/yd/116/lamdan,sources/yoreh-deah/siman-116/niveau-2-lamdan.html,,fr,116,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0072,https://daattorah.com/yd/116/lamdan,sources/yoreh-deah/siman-116/niveau-2-lamdan.html,,fr,116,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0073,https://daattorah.com/yd/117/lamdan,sources/yoreh-deah/siman-117/niveau-2-lamdan.html,,fr,117,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0074,https://daattorah.com/yd/117/lamdan,sources/yoreh-deah/siman-117/niveau-2-lamdan.html,,fr,117,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0075,https://daattorah.com/yd/117/lamdan,sources/yoreh-deah/siman-117/niveau-2-lamdan.html,,fr,117,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0076,https://daattorah.com/yd/117/lamdan,sources/yoreh-deah/siman-117/niveau-2-lamdan.html,,fr,117,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0077,https://daattorah.com/yd/118/lamdan,sources/yoreh-deah/siman-118/niveau-2-lamdan.html,,fr,118,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0078,https://daattorah.com/yd/118/lamdan,sources/yoreh-deah/siman-118/niveau-2-lamdan.html,,fr,118,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0079,https://daattorah.com/yd/118/lamdan,sources/yoreh-deah/siman-118/niveau-2-lamdan.html,,fr,118,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0080,https://daattorah.com/yd/118/lamdan,sources/yoreh-deah/siman-118/niveau-2-lamdan.html,,fr,118,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0081,https://daattorah.com/yd/183/lamdan,sources/yoreh-deah/siman-183/niveau-2-lamdan.html,,fr,183,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0082,https://daattorah.com/yd/183/lamdan,sources/yoreh-deah/siman-183/niveau-2-lamdan.html,,fr,183,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0083,https://daattorah.com/yd/183/lamdan,sources/yoreh-deah/siman-183/niveau-2-lamdan.html,,fr,183,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0084,https://daattorah.com/yd/183/lamdan,sources/yoreh-deah/siman-183/niveau-2-lamdan.html,,fr,183,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0085,https://daattorah.com/yd/184/lamdan,sources/yoreh-deah/siman-184/niveau-2-lamdan.html,,fr,184,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0086,https://daattorah.com/yd/184/lamdan,sources/yoreh-deah/siman-184/niveau-2-lamdan.html,,fr,184,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0087,https://daattorah.com/yd/184/lamdan,sources/yoreh-deah/siman-184/niveau-2-lamdan.html,,fr,184,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0088,https://daattorah.com/yd/184/lamdan,sources/yoreh-deah/siman-184/niveau-2-lamdan.html,,fr,184,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0089,https://daattorah.com/yd/185/lamdan,sources/yoreh-deah/siman-185/niveau-2-lamdan.html,,fr,185,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0090,https://daattorah.com/yd/185/lamdan,sources/yoreh-deah/siman-185/niveau-2-lamdan.html,,fr,185,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0091,https://daattorah.com/yd/185/lamdan,sources/yoreh-deah/siman-185/niveau-2-lamdan.html,,fr,185,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0092,https://daattorah.com/yd/185/lamdan,sources/yoreh-deah/siman-185/niveau-2-lamdan.html,,fr,185,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0093,https://daattorah.com/yd/186/lamdan,sources/yoreh-deah/siman-186/niveau-2-lamdan.html,,fr,186,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0094,https://daattorah.com/yd/186/lamdan,sources/yoreh-deah/siman-186/niveau-2-lamdan.html,,fr,186,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0095,https://daattorah.com/yd/186/lamdan,sources/yoreh-deah/siman-186/niveau-2-lamdan.html,,fr,186,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0096,https://daattorah.com/yd/186/lamdan,sources/yoreh-deah/siman-186/niveau-2-lamdan.html,,fr,186,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0097,https://daattorah.com/yd/187/lamdan,sources/yoreh-deah/siman-187/niveau-2-lamdan.html,,fr,187,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0098,https://daattorah.com/yd/187/lamdan,sources/yoreh-deah/siman-187/niveau-2-lamdan.html,,fr,187,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0099,https://daattorah.com/yd/187/lamdan,sources/yoreh-deah/siman-187/niveau-2-lamdan.html,,fr,187,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0100,https://daattorah.com/yd/187/lamdan,sources/yoreh-deah/siman-187/niveau-2-lamdan.html,,fr,187,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0101,https://daattorah.com/yd/188/lamdan,sources/yoreh-deah/siman-188/niveau-2-lamdan.html,,fr,188,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0102,https://daattorah.com/yd/188/lamdan,sources/yoreh-deah/siman-188/niveau-2-lamdan.html,,fr,188,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0103,https://daattorah.com/yd/188/lamdan,sources/yoreh-deah/siman-188/niveau-2-lamdan.html,,fr,188,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0104,https://daattorah.com/yd/188/lamdan,sources/yoreh-deah/siman-188/niveau-2-lamdan.html,,fr,188,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0105,https://daattorah.com/yd/189/lamdan,sources/yoreh-deah/siman-189/niveau-2-lamdan.html,,fr,189,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0106,https://daattorah.com/yd/189/lamdan,sources/yoreh-deah/siman-189/niveau-2-lamdan.html,,fr,189,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0107,https://daattorah.com/yd/189/lamdan,sources/yoreh-deah/siman-189/niveau-2-lamdan.html,,fr,189,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0108,https://daattorah.com/yd/189/lamdan,sources/yoreh-deah/siman-189/niveau-2-lamdan.html,,fr,189,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0109,https://daattorah.com/yd/190/lamdan,sources/yoreh-deah/siman-190/niveau-2-lamdan.html,,fr,190,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0110,https://daattorah.com/yd/190/lamdan,sources/yoreh-deah/siman-190/niveau-2-lamdan.html,,fr,190,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0111,https://daattorah.com/yd/190/lamdan,sources/yoreh-deah/siman-190/niveau-2-lamdan.html,,fr,190,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0112,https://daattorah.com/yd/190/lamdan,sources/yoreh-deah/siman-190/niveau-2-lamdan.html,,fr,190,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0113,https://daattorah.com/yd/191/lamdan,sources/yoreh-deah/siman-191/niveau-2-lamdan.html,,fr,191,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0114,https://daattorah.com/yd/191/lamdan,sources/yoreh-deah/siman-191/niveau-2-lamdan.html,,fr,191,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0115,https://daattorah.com/yd/191/lamdan,sources/yoreh-deah/siman-191/niveau-2-lamdan.html,,fr,191,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0116,https://daattorah.com/yd/191/lamdan,sources/yoreh-deah/siman-191/niveau-2-lamdan.html,,fr,191,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0117,https://daattorah.com/yd/192/lamdan,sources/yoreh-deah/siman-192/niveau-2-lamdan.html,,fr,192,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0118,https://daattorah.com/yd/192/lamdan,sources/yoreh-deah/siman-192/niveau-2-lamdan.html,,fr,192,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0119,https://daattorah.com/yd/192/lamdan,sources/yoreh-deah/siman-192/niveau-2-lamdan.html,,fr,192,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0120,https://daattorah.com/yd/192/lamdan,sources/yoreh-deah/siman-192/niveau-2-lamdan.html,,fr,192,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0121,https://daattorah.com/yd/193/lamdan,sources/yoreh-deah/siman-193/niveau-2-lamdan.html,,fr,193,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0122,https://daattorah.com/yd/193/lamdan,sources/yoreh-deah/siman-193/niveau-2-lamdan.html,,fr,193,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0123,https://daattorah.com/yd/193/lamdan,sources/yoreh-deah/siman-193/niveau-2-lamdan.html,,fr,193,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0124,https://daattorah.com/yd/193/lamdan,sources/yoreh-deah/siman-193/niveau-2-lamdan.html,,fr,193,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
